Vármegye;Település;Cím;Típus;Akadálymentesség;Választópolgárok száma
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Törökvész út 48-54. (Móricz Zs. Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;927
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pitypang u. 17. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;943
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pitypang u. 17. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;1056
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pitypang u. 17. (Ált. Isk.);10 ezer lakos feletti település, nem megyei jogú város;Igen;999
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Törökvész út 67. (Ált. Isk.);10 ezer lakos feletti település, nem megyei jogú város;Nem;903
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;784
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;713
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Hűvösvölgyi út 12/B. (Bölcsőde);10 ezer lakos feletti település, nem megyei jogú város;Igen;535
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Hűvösvölgyi út 12/B. (Bölcsőde);10 ezer lakos feletti település, nem megyei jogú város;Igen;623
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;1167
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;970
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Völgy u. 1-3. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;915
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Völgy u. 1-3. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;820
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Máriaremetei út 71. (Ált. Isk.);10 ezer lakos feletti település, nem megyei jogú város;Igen;945
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kossuth L. u. 15-17. (Ált. Isk.);10 ezer lakos feletti település, nem megyei jogú város;Nem;959
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kossuth L. u. 15-17.  (Ált. Isk.);10 ezer lakos feletti település, nem megyei jogú város;Nem;1006
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kossuth L. u. 15-17. (Ált. Isk.);10 ezer lakos feletti település, nem megyei jogú város;Nem;1099
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Templom u. 2-10. (Klebelsberg K. Műv. Közp.);10 ezer lakos feletti település, nem megyei jogú város;Igen;1086
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Templom u. 2-10. (Klebelsberg K. Műv. Közp.);10 ezer lakos feletti település, nem megyei jogú város;Igen;926
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Templom u. 2-10.  (Klebelsberg K. Műv. Közp.);10 ezer lakos feletti település, nem megyei jogú város;Igen;926
BUDAPEST főváros;Budapest 02. kerület;1029 Budapest 02, Máriaremetei út 185. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;926
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Hímes u. 3. (Cserkészház);10 ezer lakos feletti település, nem megyei jogú város;Igen;942
