"Vármegye","Település","EVK Sorszám","Szavazókör sorszáma","Cím","Típus","Akadálymentesség","Választópolgárok száma"
"BUDAPEST főváros","Budapest 02. kerület","08","019"," Budapest 02, Törökvész út 48-54. (Móricz Zs. Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","920"
"BUDAPEST főváros","Budapest 02. kerület","08","020"," Budapest 02, Fenyves u. 1. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","879"
"BUDAPEST főváros","Budapest 02. kerület","11","021"," Budapest 02, Hűvösvölgyi út 12/B. (Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Igen","913"
"BUDAPEST főváros","Budapest 02. kerület","08","022"," Budapest 02, Törökvész út 48-54. (Móricz Zs. Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","927"
"BUDAPEST főváros","Budapest 02. kerület","06","023"," Budapest 02, Pitypang u. 17. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","943"
"BUDAPEST főváros","Budapest 02. kerület","10","024"," Budapest 02, Pitypang u. 17. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 056"
"BUDAPEST főváros","Budapest 02. kerület","10","025"," Budapest 02, Pitypang u. 17. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","999"
"BUDAPEST főváros","Budapest 02. kerület","10","026"," Budapest 02, Törökvész út 67. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","903"
"BUDAPEST főváros","Budapest 02. kerület","09","027"," Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","784"
"BUDAPEST főváros","Budapest 02. kerület","08","028"," Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","713"
"BUDAPEST főváros","Budapest 02. kerület","11","029"," Budapest 02, Hűvösvölgyi út 12/B. (Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Igen","535"
"BUDAPEST főváros","Budapest 02. kerület","08","030"," Budapest 02, Hűvösvölgyi út 12/B. (Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Igen","623"
"BUDAPEST főváros","Budapest 02. kerület","09","031"," Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 167"
"BUDAPEST főváros","Budapest 02. kerület","10","032"," Budapest 02, Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","970"
"BUDAPEST főváros","Budapest 02. kerület","10","033"," Budapest 02, Völgy u. 1-3. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","915"
"BUDAPEST főváros","Budapest 02. kerület","11","034"," Budapest 02, Völgy u. 1-3. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","820"
"BUDAPEST főváros","Budapest 02. kerület","12","035"," Budapest 02, Máriaremetei út 71. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","945"
"BUDAPEST főváros","Budapest 02. kerület","12","036"," Budapest 02, Kossuth L. u. 15-17. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","959"
"BUDAPEST főváros","Budapest 02. kerület","12","037"," Budapest 02, Kossuth L. u. 15-17.  (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 006"
"BUDAPEST főváros","Budapest 02. kerület","13","038"," Budapest 02, Kossuth L. u. 15-17. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 099"
"BUDAPEST főváros","Budapest 02. kerület","14","039"," Budapest 02, Templom u. 2-10. (Klebelsberg K. Műv. Közp.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 086"
"BUDAPEST főváros","Budapest 02. kerület","14","040"," Budapest 02, Templom u. 2-10. (Klebelsberg K. Műv. Közp.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","926"
"BUDAPEST főváros","Budapest 02. kerület","14","041"," Budapest 02, Templom u. 2-10.  (Klebelsberg K. Műv. Közp.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","926"
"BUDAPEST főváros","Budapest 02. kerület","14","042","1029 Budapest 02, Máriaremetei út 185. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","926"
"BUDAPEST főváros","Budapest 02. kerület","14","043"," Budapest 02, Hímes u. 3. (Cserkészház)","10 ezer lakos feletti település, nem megyei jogú város","Igen","942"
"BUDAPEST főváros","Budapest 02. kerület","13","044"," Budapest 02, Szabadság út 23. (Klebelsberg K. Ált. I. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 081"
