"Vármegye","Település","EVK Sorszám","Szavazókör sorszáma","Cím","Típus","Akadálymentesség","Választópolgárok száma"
"BUDAPEST főváros","Budapest 10. kerület","12","067"," Budapest 10, Jászberényi út 89. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","701"
"BUDAPEST főváros","Budapest 10. kerület","12","068"," Budapest 10, Jászberényi út 89. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","686"
"BUDAPEST főváros","Budapest 10. kerület","","069"," Budapest 10, Szent László tér 7-14. (Kőrösi Kulturális Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","0"
"BUDAPEST főváros","Budapest 11. kerület","02","001","1114 Budapest 11, Bartók Béla út 27. (Gárdonyi Géza Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 115"
"BUDAPEST főváros","Budapest 11. kerület","02","002","1114 Budapest 11, Bartók Béla út 27. (Gárdonyi Géza Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 094"
"BUDAPEST főváros","Budapest 11. kerület","02","003","1111 Budapest 11, Bartók Béla út 32. (B32 Galéria)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 066"
"BUDAPEST főváros","Budapest 11. kerület","02","004","1111 Budapest 11, Egry József utca 3-11. (Széchenyi István Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 023"
"BUDAPEST főváros","Budapest 11. kerület","02","005","1114 Budapest 11, Bartók Béla út 27. (Gárdonyi Géza Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 077"
"BUDAPEST főváros","Budapest 11. kerület","02","006","1113 Budapest 11, Bocskai út 47-49. (Bocskai István Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 368"
"BUDAPEST főváros","Budapest 11. kerület","05","007","1114 Budapest 11, Bartók Béla út 27. (Gárdonyi Géza Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 020"
"BUDAPEST főváros","Budapest 11. kerület","05","008","1111 Budapest 11, Egry József utca 3-11. (Széchenyi István Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","970"
"BUDAPEST főváros","Budapest 11. kerület","05","009","1111 Budapest 11, Egry József utca 3-11. (Széchenyi István Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 027"
"BUDAPEST főváros","Budapest 11. kerület","05","010","1117 Budapest 11, Váli utca 1. (József Attila Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","957"
"BUDAPEST főváros","Budapest 11. kerület","05","011","1117 Budapest 11, Bogdánfy utca 5/B. (Kürt Alapítványi Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","960"
"BUDAPEST főváros","Budapest 11. kerület","05","012","1111 Budapest 11, Egry József utca 3-11. (Széchenyi István Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","961"
"BUDAPEST főváros","Budapest 11. kerület","05","013","1117 Budapest 11, Bogdánfy utca 5/B. (Kürt Alapítványi Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","990"
"BUDAPEST főváros","Budapest 11. kerület","01","014","1117 Budapest 11, Baranyai utca 16-18. (Bárdos Lajos Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 121"
"BUDAPEST főváros","Budapest 11. kerület","01","015","1117 Budapest 11, Baranyai utca 16-18. (Bárdos Lajos Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 031"
"BUDAPEST főváros","Budapest 11. kerület","01","016","1117 Budapest 11, Baranyai utca 16-18. (Bárdos Lajos Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 008"
"BUDAPEST főváros","Budapest 11. kerület","01","017","1117 Budapest 11, Váli utca 1. (József Attila Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 011"
"BUDAPEST főváros","Budapest 11. kerület","01","018","1117 Budapest 11, Váli utca 1. (József Attila Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 170"
"BUDAPEST főváros","Budapest 11. kerület","01","019","1117 Budapest 11, Váli utca 1. (József Attila Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 113"
"BUDAPEST főváros","Budapest 11. kerület","03","020","1113 Budapest 11, Bocskai út 47-49. (Bocskai István Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","879"
"BUDAPEST főváros","Budapest 11. kerület","03","021","1118 Budapest 11, Köbölkút utca 27-29. (Ádám Jenő Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","943"
"BUDAPEST főváros","Budapest 11. kerület","03","022","1118 Budapest 11, Köbölkút utca 27-29. (Ádám Jenő Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 062"
"BUDAPEST főváros","Budapest 11. kerület","03","023","1118 Budapest 11, Köbölkút utca 27-29. (Ádám Jenő Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 043"
"BUDAPEST főváros","Budapest 11. kerület","03","024","1118 Budapest 11, Zólyomi út 20-22. (Tesz-Vesz Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","909"
"BUDAPEST főváros","Budapest 11. kerület","03","025","1113 Budapest 11, Bocskai út 47-49. (Bocskai István Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","930"
"BUDAPEST főváros","Budapest 11. kerület","03","026","1113 Budapest 11, Aga utca 10. (Carl Rogers Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","887"
"BUDAPEST főváros","Budapest 11. kerület","04","027","1117 Budapest 11, Baranyai utca 16-18. (Bárdos Lajos Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 181"
"BUDAPEST főváros","Budapest 11. kerület","04","028","1113 Budapest 11, Bocskai út 47-49. (Bocskai István Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 167"
"BUDAPEST főváros","Budapest 11. kerület","04","029","1113 Budapest 11, Bocskai út 47-49. (Bocskai István Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 132"
"BUDAPEST főváros","Budapest 11. kerület","04","030","1113 Budapest 11, Aga utca 10. (Carl Rogers Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 152"
"BUDAPEST főváros","Budapest 11. kerület","04","031","1118 Budapest 11, Dayka Gábor utca 4/B. (Sasadi Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","977"
"BUDAPEST főváros","Budapest 11. kerület","04","032","1118 Budapest 11, Zólyomi út 20-22. (Tesz-Vesz Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","867"
"BUDAPEST főváros","Budapest 11. kerület","14","033","1112 Budapest 11, Érdi út 2. (Farkasréti Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 037"
"BUDAPEST főváros","Budapest 11. kerület","14","034","1112 Budapest 11, Érdi út 2. (Farkasréti Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","986"
"BUDAPEST főváros","Budapest 11. kerület","14","035","1118 Budapest 11, Dayka Gábor utca 4/B. (Sasadi Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","955"
"BUDAPEST főváros","Budapest 11. kerület","14","036","1118 Budapest 11, Beregszász út 10. (Öveges Szakgimn. és SZKI)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 040"
"BUDAPEST főváros","Budapest 11. kerület","14","037","1112 Budapest 11, Beregszász út 10. (Öveges Szakgimn. és SZKI)","10 ezer lakos feletti település, nem megyei jogú város","Nem","971"
"BUDAPEST főváros","Budapest 11. kerület","14","038","1118 Budapest 11, Beregszász út 10. (Öveges Szakgimn. és SZKI)","10 ezer lakos feletti település, nem megyei jogú város","Nem","917"
"BUDAPEST főváros","Budapest 11. kerület","14","039","1118 Budapest 11, Beregszász út 10. (Öveges Szakgimn. és SZKI)","10 ezer lakos feletti település, nem megyei jogú város","Nem","990"
"BUDAPEST főváros","Budapest 11. kerület","16","040","1112 Budapest 11, Érdi út 2. (Farkasréti Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","906"
"BUDAPEST főváros","Budapest 11. kerület","16","041","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","902"
"BUDAPEST főváros","Budapest 11. kerület","16","042","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","981"
"BUDAPEST főváros","Budapest 11. kerület","16","043","1118 Budapest 11, Törökugrató utca 15. (Törökugrató Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 028"
"BUDAPEST főváros","Budapest 11. kerület","16","044","1118 Budapest 11, Törökugrató utca 15. (Törökugrató Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","944"
"BUDAPEST főváros","Budapest 11. kerület","16","045","1118 Budapest 11, Törökugrató utca 15. (Törökugrató Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 046"
"BUDAPEST főváros","Budapest 11. kerület","16","046","1118 Budapest 11, Törökugrató utca 15. (Törökugrató Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 026"
"BUDAPEST főváros","Budapest 11. kerület","13","047","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","978"
"BUDAPEST főváros","Budapest 11. kerület","13","048","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 039"
"BUDAPEST főváros","Budapest 11. kerület","13","049","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","998"
"BUDAPEST főváros","Budapest 11. kerület","13","050","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","985"
"BUDAPEST főváros","Budapest 11. kerület","13","051","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","994"
"BUDAPEST főváros","Budapest 11. kerület","13","052","1118 Budapest 11, Törökugrató utca 15. (Törökugrató Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 015"
"BUDAPEST főváros","Budapest 11. kerület","13","053","1118 Budapest 11, Törökugrató utca 15. (Törökugrató Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","974"
"BUDAPEST főváros","Budapest 11. kerület","15","054","1112 Budapest 11, Menyecske utca 2. (Őrmezei Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 083"
"BUDAPEST főváros","Budapest 11. kerület","15","055","1112 Budapest 11, Menyecske utca 2. (Őrmezei Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","923"
"BUDAPEST főváros","Budapest 11. kerület","15","056","1112 Budapest 11, Menyecske utca 2. (Őrmezei Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 059"
"BUDAPEST főváros","Budapest 11. kerület","15","057","1112 Budapest 11, Menyecske utca 2. (Őrmezei Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","886"
"BUDAPEST főváros","Budapest 11. kerület","15","058","112 Budapest 11, Menyecske utca 2. (Őrmezei Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 088"
"BUDAPEST főváros","Budapest 11. kerület","15","059","1118 Budapest 11, Dayka Gábor utca 4/B. (Sasadi Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 015"
"BUDAPEST főváros","Budapest 11. kerület","07","060","1115 Budapest 11, Bartók Béla út 141. (Bethlen Gábor Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 160"
"BUDAPEST főváros","Budapest 11. kerület","07","061","1115 Budapest 11, Keveháza utca 2. (Montessori Tagiskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","972"
"BUDAPEST főváros","Budapest 11. kerület","07","062","1115 Budapest 11, Keveháza utca 2. (Montessori Tagiskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 052"
"BUDAPEST főváros","Budapest 11. kerület","07","063","1115 Budapest 11, Bartók Béla út 141. (Bethlen Gábor Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 076"
"BUDAPEST főváros","Budapest 11. kerület","07","064","1115 Budapest 11, Bartók Béla út 141. (Bethlen Gábor Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 133"
"BUDAPEST főváros","Budapest 11. kerület","07","065","1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 122"
"BUDAPEST főváros","Budapest 11. kerület","08","066","1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 150"
"BUDAPEST főváros","Budapest 11. kerület","08","067","1115 Budapest 11, Keveháza utca 2. (Montessori Tagiskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 011"
"BUDAPEST főváros","Budapest 11. kerület","08","068","1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 081"
"BUDAPEST főváros","Budapest 11. kerület","06","069","1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","10 ezer lakos feletti település, nem megyei jogú város","Igen","678"
"BUDAPEST főváros","Budapest 11. kerület","06","070","1117 Budapest 11, Sopron út 50. (Domokos Pál Péter Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 016"
"BUDAPEST főváros","Budapest 11. kerület","06","071","1117 Budapest 11, Sopron út 50. (Domokos Pál Péter Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 015"
"BUDAPEST főváros","Budapest 11. kerület","06","072","1117 Budapest 11, Sopron út 50. (Domokos Pál Péter Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 007"
"BUDAPEST főváros","Budapest 11. kerület","06","073","1117 Budapest 11, Sopron út 50. (Domokos Pál Péter Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","952"
"BUDAPEST főváros","Budapest 11. kerület","06","074","1117 Budapest 11, Sopron út 50. (Domokos Pál Péter Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","956"
"BUDAPEST főváros","Budapest 11. kerület","06","075","1117 Budapest 11, Sopron út 50. (Domokos Pál Péter Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","872"
"BUDAPEST főváros","Budapest 11. kerület","08","076","1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 173"
"BUDAPEST főváros","Budapest 11. kerület","08","077","1119 Budapest 11, Bikszádi utca 61-63. (Teleki Blanka Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 060"
"BUDAPEST főváros","Budapest 11. kerület","08","078","1119 Budapest 11, Bikszádi utca 61-63. (Teleki Blanka Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 075"
"BUDAPEST főváros","Budapest 11. kerület","09","079","1119 Budapest 11, Fogócska utca 4. (Montágh Imre Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 024"
"BUDAPEST főváros","Budapest 11. kerület","09","080","1119 Budapest 11, Bikszádi utca 61-63. (Teleki Blanka Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 095"
"BUDAPEST főváros","Budapest 11. kerület","09","081","1119 Budapest 11, Bikszádi utca 11-15. (Grosics Gyula Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 032"
"BUDAPEST főváros","Budapest 11. kerület","09","082","1119 Budapest 11, Bikszádi utca 11-15. (Grosics Gyula Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 032"
"BUDAPEST főváros","Budapest 11. kerület","09","083","1119 Budapest 11, Bikszádi utca 11-15. (Grosics Gyula Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 090"
"BUDAPEST főváros","Budapest 11. kerület","09","084","1119 Budapest 11, Bikszádi utca 11-15. (Grosics Gyula Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 106"
"BUDAPEST főváros","Budapest 11. kerület","12","085","1119 Budapest 11, Fogócska utca 4. (Montágh Imre Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 125"
"BUDAPEST főváros","Budapest 11. kerület","12","086","1116 Budapest 11, Bükköny utca 2-4. (GAMESZ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 053"
"BUDAPEST főváros","Budapest 11. kerület","12","087","1116 Budapest 11, Bükköny utca 9. (Albertfalvai Bükköny Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 060"
"BUDAPEST főváros","Budapest 11. kerület","12","088","1116 Budapest 11, Gyékényes utca 45-47. (Albertfalvi Köz. Ház)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 011"
"BUDAPEST főváros","Budapest 11. kerület","12","089","1116 Budapest 11, Bükköny utca 9. (Albertfalvai Bükköny Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 022"
"BUDAPEST főváros","Budapest 11. kerület","12","090","1116 Budapest 11, Gyékényes utca 45-47. (Albertfalvi Köz. Ház)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 172"
"BUDAPEST főváros","Budapest 11. kerület","11","091","1116 Budapest 11, Bükköny utca 9. (Albertfalvai Bükköny Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 212"
"BUDAPEST főváros","Budapest 11. kerület","11","092","1116 Budapest 11, Bükköny utca 9. (Albertfalvai Bükköny Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 054"
"BUDAPEST főváros","Budapest 11. kerület","11","093","1116 Budapest 11, Kiskőrös utca 1. (Petőfi Sándor Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 016"
"BUDAPEST főváros","Budapest 11. kerület","11","094","1116 Budapest 11, Kiskőrös utca 1. (Petőfi Sándor Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 123"
"BUDAPEST főváros","Budapest 11. kerület","11","095","1116 Budapest 11, Fogócska utca 4. (Montágh Imre Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 098"
"BUDAPEST főváros","Budapest 11. kerület","11","096","1119 Budapest 11, Fogócska utca 4. (Montágh Imre Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 136"
"BUDAPEST főváros","Budapest 11. kerület","10","097","1119 Budapest 11, Fogócska utca 4. (Montágh Imre Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","871"
"BUDAPEST főváros","Budapest 11. kerület","10","098","1116 Budapest 11, Kiskőrös utca 1. (Petőfi Sándor Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","822"
"BUDAPEST főváros","Budapest 11. kerület","10","099","1116 Budapest 11, Kiskőrös utca 1. (Petőfi Sándor Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","876"
"BUDAPEST főváros","Budapest 11. kerület","10","100","1116 Budapest 11, Kecskeméti József utca 14. (Kelenvölgyi Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","985"
"BUDAPEST főváros","Budapest 11. kerület","10","101","1116 Budapest 11, Kecskeméti József utca 14. (Kelenvölgyi Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","893"
"BUDAPEST főváros","Budapest 11. kerület","10","102","1116 Budapest 11, Kecskeméti József utca 14. (Kelenvölgyi Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","915"
"BUDAPEST főváros","Budapest 11. kerület","10","103","1116 Budapest 11, Kecskeméti József utca 14. (Kelenvölgyi Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","879"
"BUDAPEST főváros","Budapest 11. kerület","10","104","1112 Budapest 11, Kamaraerdei út 16. (Szoc. Otthon)","10 ezer lakos feletti település, nem megyei jogú város","Igen","597"
"BUDAPEST főváros","Budapest 11. kerület","15","105","1112 Budapest 11, Menyecske utca 2. (Őrmezei Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","866"
"BUDAPEST főváros","Budapest 11. kerület","","106","1118 Budapest 11, Csiki-hegyek utca 13-15. (Csikihegyek Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","0"
"BUDAPEST főváros","Budapest 12. kerület","01","001","1122 Budapest 12, Csaba u. 16/c ( Pannonia Sacra Kat.  Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","710"
"BUDAPEST főváros","Budapest 12. kerület","01","002","1122 Budapest 12, Ráth György u. 18-20. (Krisztinavárosi Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Igen","702"
"BUDAPEST főváros","Budapest 12. kerület","04","003","1126 Budapest 12, Orbánhegyi út 3/a (Orbánhegyi Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","936"
"BUDAPEST főváros","Budapest 12. kerület","02","004","1122 Budapest 12, Városmajor u. 59. (VMG és Kós Károly Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","771"
"BUDAPEST főváros","Budapest 12. kerület","02","005","1122 Budapest 12, Csaba u. 16/c (Pannonia Sacra Kat. Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","613"
"BUDAPEST főváros","Budapest 12. kerület","02","006","1122 Budapest 12, Csaba u. 16/c (Pannonia Sacra Kat. Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","533"
"BUDAPEST főváros","Budapest 12. kerület","04","007","1126 Budapest 12, Beethoven u. 3.(volt ELTE Gyak. Isk. Tornaterme)","10 ezer lakos feletti település, nem megyei jogú város","Igen","818"
"BUDAPEST főváros","Budapest 12. kerület","04","008","1126 Budapest 12, Beethoven u.3.(volt ELTE Gyak. Isk. Tornaterme)","10 ezer lakos feletti település, nem megyei jogú város","Igen","521"
"BUDAPEST főváros","Budapest 12. kerület","05","009","1126 Budapest 12, Orbánhegyi út 3/a (Orbánhegyi Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","823"
"BUDAPEST főváros","Budapest 12. kerület","03","010","1122 Budapest 12, Városmajor u. 59. (VMG és Kós Károly Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 009"
"BUDAPEST főváros","Budapest 12. kerület","03","011","1121 Budapest 12, Diana u. 4. (Jókai Mór Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","828"
"BUDAPEST főváros","Budapest 12. kerület","03","012","1125 Budapest 12, Diana u. 35-37/a (Gyakorló Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 006"
"BUDAPEST főváros","Budapest 12. kerület","03","013","1125 Budapest 12, Diana u. 35-37/a (Gyakorló Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","623"
"BUDAPEST főváros","Budapest 12. kerület","01","014","1122 Budapest 12, Városmajor u. 59. (VMG és Kós Károly Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","679"
"BUDAPEST főváros","Budapest 12. kerület","01","015","1122 Budapest 12, Városmajor u. 59. (VMG és Kós Károly Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","730"
"BUDAPEST főváros","Budapest 12. kerület","05","016","1126 Budapest 12, Orbánhegyi út 7. (Fekete István Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","721"
"BUDAPEST főváros","Budapest 12. kerület","07","017","1126 Budapest 12, Beethoven u.3.(volt ELTE Gyak. Isk.Tornaterme)","10 ezer lakos feletti település, nem megyei jogú város","Igen","952"
"BUDAPEST főváros","Budapest 12. kerület","04","018","1126 Budapest 12, Beethoven u. 3. (ELTE Gyakorló Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","999"
"BUDAPEST főváros","Budapest 12. kerület","04","019","1126 Budapest 12, Beethoven u. 3. (ELTE Gyakorló Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","632"
"BUDAPEST főváros","Budapest 12. kerület","06","020","1124 Budapest 12, Mártonhegyi út 34. (Tamási Áron Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","818"
"BUDAPEST főváros","Budapest 12. kerület","05","021","1124 Budapest 12, Mártonhegyi út 34. (Tamási Áron Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","754"
"BUDAPEST főváros","Budapest 12. kerület","03","022","1125 Budapest 12, Diana u. 35-37/a (Gyakorló Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","543"
"BUDAPEST főváros","Budapest 12. kerület","05","023","1126 Budapest 12, Németvölgyi út 46.(Németvölgyi Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","601"
"BUDAPEST főváros","Budapest 12. kerület","05","024","1126 Budapest 12, Orbánhegyi út 7. (Fekete István Ált. Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","713"
"BUDAPEST főváros","Budapest 12. kerület","06","025","1126 Budapest 12, Németvölgyi út 46. (Mackós Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","910"
"BUDAPEST főváros","Budapest 12. kerület","06","026","1124 Budapest 12, Lejtő út 41. (Táltos Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","708"
"BUDAPEST főváros","Budapest 12. kerület","06","027","1124 Budapest 12, Mártonhegyi út 34. (Tamási Áron Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","721"
"BUDAPEST főváros","Budapest 12. kerület","07","028","1126 Budapest 12, Beethoven u.3. (volt ELTE Gyak. Isk. Tornaterme)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 029"
"BUDAPEST főváros","Budapest 12. kerület","08","029","1126 Budapest 12, Kiss J. altb. u. 33/b (Németvölgy Gondozási Közp.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","716"
"BUDAPEST főváros","Budapest 12. kerület","08","030","1126 Budapest 12, Kiss J. altb. u. 34. (Családsegítő Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 005"
"BUDAPEST főváros","Budapest 12. kerület","07","031","1123 Budapest 12, Alkotás u. 45. (Budai Rajziskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","689"
"BUDAPEST főváros","Budapest 12. kerület","07","032","1123 Budapest 12, Alkotás u. 45. (Budai Rajziskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","845"
"BUDAPEST főváros","Budapest 12. kerület","08","033","1123 Budapest 12, Alkotás u. 45. (Budai Rajziskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","962"
"BUDAPEST főváros","Budapest 12. kerület","08","034","1126 Budapest 12, Kiss J. altb. u. 33/b (Németvölgy Gondozási Közp.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","955"
"BUDAPEST főváros","Budapest 12. kerület","09","035","1124 Budapest 12, Lejtő út 41. (Táltos Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","838"
